Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,130.39916920606728,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,131.01041372095636,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,131.62110680495192,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,132.23085653434964,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,132.7492253275013,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,133.3562494215379,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,133.96377733276952,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,104,134.5698575738413,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,135.17513586123638,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,135.7797268366279,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,136.29459053359543,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,136.89315106711754,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,137.49439441169633,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,138.09532252185716,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,138.69564448209744,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,139.20062849186226,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,139.7986449298391,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,140.39606212066647,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,140.89702031520932,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,141.39741705342016,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,141.9918449233892,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,142.58519481739452,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,143.1773479140603,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,143.76884399364053,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,144.36427629117205,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,144.8533171315513,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,145.44227093383824,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,146.03062667584643,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,146.6181483644936,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,147.20892223408458,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,147.7907662914189,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,148.2763725556319,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,148.860971443568,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,149.44404238859246,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,150.03079970792064,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,150.5083240281246,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,151.0884064715492,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,151.66820665071387,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,152.25194969056943,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,152.72456806023027,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,153.30192359879973,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,153.87836700391117,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,154.4541478707064,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,155.02864306465185,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,155.60327991333742,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,156.176331090831,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,156.64511717171652,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,157.22195923988235,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,157.68888571840336,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,158.2589009463151,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,158.82786310893889,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,159.3962310622278,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,159.85895372143182,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,160.42142221933454,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,160.9874511943803,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,161.55465212266506,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,162.11643993473953,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,162.67978725543745,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,163.24260586458465,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,163.80492506148636,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,164.2587324840095,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,164.819397145169,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,165.37859820462995,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,165.94199968063074,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,166.49552558835666,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,167.05259591791787,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,167.50518863506593,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,168.05544967659318,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,105,168.6112599093536,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,169.16566046963172,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,169.71867408044577,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,170.2704582679183,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,170.82365309866276,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,171.2646630697124,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,171.81515564400962,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,92,172.36485796250753,1
